 0.12, 0.99,-0.10
-0.03, 0.93,-0.03
 0.03, 0.92, 0.25
-0.02, 1.10, 0.26
 0.04, 0.97,-0.06
 0.15, 0.81,-0.04
 0.07, 1.01,-0.13
 0.02, 1.09, 0.21
 0.02, 0.89, 0.29
 0.09, 1.07,-0.09
 0.07, 0.88,-0.15
 0.14, 0.88,-0.08
 0.06, 1.11, 0.14
-0.04, 1.03, 0.28
 0.10, 0.90,-0.05
 0.14, 0.98,-0.17
-0.05, 0.94, 0.16
 0.08, 0.93, 0.21
-0.03, 1.11, 0.29
 0.04, 0.89,-0.06
 0.16, 0.84,-0.06
-0.00, 1.03, 0.06
 0.01, 1.06, 0.24
 0.01, 0.92, 0.32
 0.09, 1.01,-0.10
 0.05, 0.92,-0.19
 0.06, 0.88, 0.06
 0.06, 1.14, 0.17
-0.04, 0.99, 0.10
 0.12, 0.88,-0.10
 0.12, 1.00,-0.21
-0.04, 1.00, 0.23
 0.06, 0.93, 0.22
 0.00, 1.07, 0.10
 0.04, 0.91,-0.07
 0.16, 0.85,-0.14
 0.01, 1.06, 0.17
-0.04, 1.06, 0.29
 0.02, 0.90, 0.18
 0.12, 1.00,-0.11
 0.02, 0.92,-0.10
 0.04, 0.90, 0.24
 0.02, 1.10, 0.21
 0.03, 1.01,-0.04
 0.13, 0.81,-0.11
 0.12, 1.01,-0.19
-0.02, 1.05, 0.24
 0.05, 0.93, 0.24
 0.07, 1.05,-0.06
 0.07, 0.90,-0.10
 0.16, 0.87,-0.17
 0.03, 1.08, 0.18
-0.05, 1.06, 0.35
 0.07, 0.87,-0.01
 0.14, 0.97,-0.10
-0.03, 0.96, 0.05
 0.04, 0.90, 0.25
 0.00, 1.09, 0.29
 0.06, 0.96,-0.08
 0.16, 0.80,-0.02
 0.05, 0.99,-0.08
 0.01, 1.10, 0.21
 0.01, 0.89, 0.30
 0.12, 1.07,-0.10
 0.05, 0.89,-0.21
 0.10, 0.88,-0.02
 0.05, 1.13, 0.14
-0.01, 1.03, 0.22
 0.11, 0.88,-0.09
 0.14, 0.98,-0.17
-0.06, 0.99, 0.18
 0.07, 0.94, 0.20
-0.02, 1.07, 0.22
 0.04, 0.91,-0.07
 0.19, 0.84,-0.10
-0.01, 1.03, 0.12
 0.00, 1.05, 0.28
 0.01, 0.90, 0.26
 0.09, 0.97,-0.09
 0.06, 0.95,-0.19
 0.04, 0.87, 0.12
 0.03, 1.12, 0.21
 0.00, 1.01, 0.03
 0.12, 0.84,-0.10
 0.14, 1.00,-0.21
-0.03, 1.03, 0.23
 0.07, 0.94, 0.21
 0.02, 1.05, 0.05
 0.07, 0.92,-0.06
 0.18, 0.84,-0.16
 0.01, 1.04, 0.18
-0.06, 1.06, 0.31
 0.02, 0.91, 0.11
 0.14, 0.95,-0.09
 0.01, 0.95,-0.08
-0.01, 1.12, 0.21
-0.01, 1.06, 0.28
 0.05, 1.02,-0.04
 0.03, 0.91,-0.17
 0.10, 0.97,-0.13
 0.01, 1.07, 0.18
-0.06, 1.05, 0.25
 0.08, 1.02,-0.05
 0.08, 0.92,-0.15
-0.06, 1.00, 0.14
 0.03, 1.07, 0.17
-0.04, 1.07, 0.28
 0.00, 0.89,-0.07
 0.14, 0.98,-0.11
-0.05, 0.96, 0.10
 0.01, 1.12, 0.23
-0.02, 1.06, 0.33
 0.05, 0.95,-0.07
 0.04, 0.95,-0.20
 0.04, 0.98, 0.03
 0.04, 1.11, 0.18
-0.06, 0.99, 0.06
 0.13, 1.00,-0.10
 0.09, 0.94,-0.23
-0.05, 1.06, 0.24
 0.06, 1.09, 0.18
-0.01, 1.04, 0.14
 0.01, 0.91,-0.08
 0.14, 0.93,-0.16
-0.03, 1.01, 0.19
-0.06, 1.05, 0.30
 0.01, 1.04, 0.19
 0.05, 0.93,-0.08
-0.00, 0.95,-0.10
 0.03, 1.01, 0.18
-0.03, 1.10, 0.26
-0.00, 0.96,-0.04
 0.11, 0.94,-0.07
 0.07, 0.97,-0.17
-0.04, 1.08, 0.22
 0.04, 1.08, 0.23
 0.01, 1.04, 0.01
 0.03, 0.87,-0.11
 0.14, 0.98,-0.20
-0.01, 1.05, 0.22
-0.08, 1.04, 0.31
 0.03, 1.02, 0.02
 0.07, 0.94,-0.10
-0.04, 0.97, 0.05
 0.03, 1.02, 0.19
-0.05, 1.09, 0.30
 0.01, 0.95,-0.07
 0.14, 0.95,-0.07
-0.01, 0.98,-0.08
